Code,SubjectPaperName,Type,date,max_number,marked_actual,ExamDate,Awarding,start_date,end_date,marked_prediction,pred_dif_tot,pred_dif_pc,level,level_code
3421/52,PHYSICS UNIT 1 UNED 1 HAEN UWCH,DRS,03/06/2019,885,0,14/06/2019,24/07/2019,21729,21750,0,0,0,GCSE,1
3403/51,BIOLOGY UNIT 2 UNIT 2 HAEN SYLFAENOL,DRS,03/06/2019,103,56,14/05/2019,24/07/2019,21705,21750,0,56,54.368931,GCSE,1
3421/01,PHYSICS UNIT 1 UNIT 1 FOUNDATION,DRS,03/06/2019,1349,0,14/06/2019,24/07/2019,21729,21750,0,0,0,GCSE,1
3421/02,PHYSICS UNIT 1 UNIT 1 HIGHER TIER,DRS,04/06/2019,6392,1,14/06/2019,24/07/2019,21729,21750,0,1,.015644556,GCSE,1
3421/02,PHYSICS UNIT 1 UNIT 1 HIGHER TIER,DRS,30/05/2019,6392,1,14/06/2019,24/07/2019,21729,21750,0,1,.015644556,GCSE,1
5670/03,FILM STUDIES COMPONENT 3,BTL IAMIS,30/05/2019,5156,5155,,24/07/2019,21705,21750,0,5155,99.980606,GCSE,1
3403/02,BIOLOGY UNIT 2 UNIT 2 HIGHER TIER,DRS,30/05/2019,5544,726,14/05/2019,24/07/2019,21705,21750,0,726,13.095238,GCSE,1
3432/02,SCIENCE (DOUBLE) CHEMISTRY 1 UNIT 2 HIGHER TIER,DRS,04/06/2019,6918,1,12/06/2019,24/07/2019,21723,21750,0,1,.014455045,GCSE,1
3412/01,CHEMISTRY UNIT 2 UNIT 2 FOUNDATION,DRS,30/05/2019,1006,1,16/05/2019,24/07/2019,21705,21750,0,1,.099403575,GCSE,1
3434/51,SCIENCE (DOUBLE) BIOLOGY 2 UNIT 4 HAEN SYLFAENOL,DRS,04/06/2019,1707,426,14/05/2019,24/07/2019,21705,21750,0,426,24.956062,GCSE,1
3404/51,BIOLOGY UNIT 3 UNED 3 YMARFEROL,,04/06/2019,871,871,,24/07/2019,21705,21750,0,871,100,GCSE,1
3421/52,PHYSICS UNIT 1 UNED 1 HAEN UWCH,DRS,29/05/2019,885,0,14/06/2019,24/07/2019,21729,21750,0,0,0,GCSE,1
3700/01,ENGLISH LANGUAGE UNIT 1 - ORACY,,03/06/2019,36224,36141,,24/07/2019,21705,21750,0,36141,99.770866,GCSE,1
3433/51,SCIENCE (DOUBLE) PHYSICS 1 UNIT 3 HAEN SYLFAENOL,DRS,29/05/2019,2118,0,14/06/2019,24/07/2019,21724,21750,0,0,0,GCSE,1
3432/52,SCIENCE (DOUBLE) CHEMISTRY 1 UNIT 2 HAEN UWCH,DRS,03/06/2019,797,0,12/06/2019,24/07/2019,21721,21750,0,0,0,GCSE,1
3411/52,CHEMISTRY UNIT 1 UNIT 1 HAEN UWCH,DRS,04/06/2019,942,0,12/06/2019,24/07/2019,21721,21750,0,0,0,GCSE,1
3433/01,SCIENCE (DOUBLE) PHYSICS 1 UNIT 3 FOUNDATION,DRS,04/06/2019,15411,0,14/06/2019,24/07/2019,21724,21750,0,0,0,GCSE,1
3435/01,SCIENCE (DOUBLE) CHEMISTRY 2 UNIT 5 FOUNDATION,DRS,30/05/2019,11498,597,16/05/2019,24/07/2019,21705,21750,0,597,5.1922073,GCSE,1
5670/01,FILM STUDIES COMPONENT 1,DRS,04/06/2019,5156,1,10/06/2019,24/07/2019,21727,21750,0,1,.01939488,GCSE,1
3412/01,CHEMISTRY UNIT 2 UNIT 2 FOUNDATION,DRS,03/06/2019,1006,64,16/05/2019,24/07/2019,21705,21750,0,64,6.3618288,GCSE,1
3435/51,SCIENCE (DOUBLE) CHEMISTRY 2 UNIT 5 HAEN SYLFAENOL,DRS,30/05/2019,1742,2,16/05/2019,24/07/2019,21705,21750,0,2,.11481056,GCSE,1
3402/51,BIOLOGY UNIT 1 UNIT 1 HAEN SYLFAENOL,DRS,30/05/2019,148,0,07/06/2019,24/07/2019,21718,21750,0,0,0,GCSE,1
5670/02,FILM STUDIES COMPONENT 2,DRS,04/06/2019,5156,1,14/06/2019,24/07/2019,21727,21750,0,1,.01939488,GCSE,1
3700/03,ENGLISH LANGUAGE UNIT 3,DRS,03/06/2019,36224,319,07/06/2019,24/07/2019,21717,21750,0,319,.88063163,GCSE,1
3435/52,SCIENCE (DOUBLE) CHEMISTRY 2 UNIT 5 HAEN UWCH,DRS,04/06/2019,722,4,16/05/2019,24/07/2019,21705,21750,0,4,.55401665,GCSE,1
3421/51,PHYSICS UNIT 1 UNED 1 HAEN SYLFAENOL,DRS,29/05/2019,194,0,14/06/2019,24/07/2019,21729,21750,0,0,0,GCSE,1
3404/01,BIOLOGY UNIT 3 UNIT 3 PRACTICAL,,29/05/2019,7128,3554,,24/07/2019,21705,21750,0,3554,49.859707,GCSE,1
3402/51,BIOLOGY UNIT 1 UNIT 1 HAEN SYLFAENOL,DRS,04/06/2019,148,0,07/06/2019,24/07/2019,21718,21750,0,0,0,GCSE,1
3436/51,SCIENCE (DOUBLE) PHYSICS 2 UNIT 6 HAEN SYLFAENOL,DRS,30/05/2019,1700,0,22/05/2019,24/07/2019,21705,21750,0,0,0,GCSE,1
3422/02,PHYSICS UNIT 2 UNIT 2 HIGHER TIER,DRS,04/06/2019,5325,1,22/05/2019,24/07/2019,21707,21750,0,1,.018779343,GCSE,1
3012/52,WELSH LITERATURE UNIT 1 UNED 1 HAEN UWCH,,04/06/2019,902,0,11/06/2019,25/07/2019,21718,21751,0,0,0,GCSE,1
3014/51,WELSH LITERATURE UNIT 3 UNED 3 HAEN SYLFAENOL,,03/06/2019,638,638,,25/07/2019,21706,21751,0,638,100,GCSE,1
3013/52,WELSH LITERATURE UNIT 2 UNED 2 HAEN UWCH,DRS,30/05/2019,3336,0,13/06/2019,25/07/2019,21725,21751,0,0,0,GCSE,1
3012/51,WELSH LITERATURE UNIT 1 UNED 1 HAEN SYLFAENOL,,04/06/2019,807,0,11/06/2019,25/07/2019,21718,21751,0,0,0,GCSE,1
5680/02,MEDIA STUDIES COMPONENT 2,DRS,04/06/2019,20765,0,10/06/2019,25/07/2019,21721,21751,0,0,0,GCSE,1
3013/52,WELSH LITERATURE UNIT 2 UNED 2 HAEN UWCH,DRS,29/05/2019,3336,0,13/06/2019,25/07/2019,21725,21751,0,0,0,GCSE,1
3013/51,WELSH LITERATURE UNIT 2 UNED 2 HAEN SYLFAENOL,DRS,03/06/2019,2289,0,13/06/2019,25/07/2019,21724,21751,0,0,0,GCSE,1
5680/02,MEDIA STUDIES COMPONENT 2,DRS,03/06/2019,20765,0,10/06/2019,25/07/2019,21721,21751,0,0,0,GCSE,1
5680/01,MEDIA STUDIES COMPONENT 1,DRS,03/06/2019,20765,0,03/06/2019,25/07/2019,21713,21751,0,0,0,GCSE,1
3015/51,WELSH LITERATURE UNIT 4 UNED 4 - NEA,,04/06/2019,3686,3686,,25/07/2019,21706,21751,0,3686,100,GCSE,1
3015/51,WELSH LITERATURE UNIT 4 UNED 4 - NEA,,30/05/2019,3686,3686,,25/07/2019,21706,21751,0,3686,100,GCSE,1
5680/01,MEDIA STUDIES COMPONENT 1,DRS,29/05/2019,20765,0,03/06/2019,25/07/2019,21713,21751,0,0,0,GCSE,1
5680/01,MEDIA STUDIES COMPONENT 1,DRS,30/05/2019,20765,0,03/06/2019,25/07/2019,21713,21751,0,0,0,GCSE,1
3013/51,WELSH LITERATURE UNIT 2 UNED 2 HAEN SYLFAENOL,DRS,30/05/2019,2289,0,13/06/2019,25/07/2019,21724,21751,0,0,0,GCSE,1
3014/52,WELSH LITERATURE UNIT 3 UNED 3 HAEN UWCH,,04/06/2019,2924,2924,,25/07/2019,21706,21751,0,2924,100,GCSE,1
3015/51,WELSH LITERATURE UNIT 4 UNED 4 - NEA,,03/06/2019,3686,3686,,25/07/2019,21706,21751,0,3686,100,GCSE,1
5680/02,MEDIA STUDIES COMPONENT 2,DRS,30/05/2019,20765,0,10/06/2019,25/07/2019,21721,21751,0,0,0,GCSE,1
5680/03,MEDIA STUDIES COMPONENT 3,BTL IAMIS,03/06/2019,20765,20763,,25/07/2019,21706,21751,0,20763,99.990372,GCSE,1
3013/51,WELSH LITERATURE UNIT 2 UNED 2 HAEN SYLFAENOL,DRS,29/05/2019,2289,0,13/06/2019,25/07/2019,21724,21751,0,0,0,GCSE,1
3012/52,WELSH LITERATURE UNIT 1 UNED 1 HAEN UWCH,,30/05/2019,902,0,11/06/2019,25/07/2019,21718,21751,0,0,0,GCSE,1
3015/51,WELSH LITERATURE UNIT 4 UNED 4 - NEA,,29/05/2019,3686,3686,,25/07/2019,21706,21751,0,3686,100,GCSE,1
5680/03,MEDIA STUDIES COMPONENT 3,BTL IAMIS,30/05/2019,20765,20763,,25/07/2019,21706,21751,0,20763,99.990372,GCSE,1
3012/52,WELSH LITERATURE UNIT 1 UNED 1 HAEN UWCH,,29/05/2019,902,0,11/06/2019,25/07/2019,21718,21751,0,0,0,GCSE,1
3014/51,WELSH LITERATURE UNIT 3 UNED 3 HAEN SYLFAENOL,,30/05/2019,638,638,,25/07/2019,21706,21751,0,638,100,GCSE,1
3014/52,WELSH LITERATURE UNIT 3 UNED 3 HAEN UWCH,,03/06/2019,2924,2924,,25/07/2019,21706,21751,0,2924,100,GCSE,1
3014/51,WELSH LITERATURE UNIT 3 UNED 3 HAEN SYLFAENOL,,29/05/2019,638,638,,25/07/2019,21706,21751,0,638,100,GCSE,1
3012/52,WELSH LITERATURE UNIT 1 UNED 1 HAEN UWCH,,03/06/2019,902,0,11/06/2019,25/07/2019,21718,21751,0,0,0,GCSE,1
3013/51,WELSH LITERATURE UNIT 2 UNED 2 HAEN SYLFAENOL,DRS,04/06/2019,2289,0,13/06/2019,25/07/2019,21724,21751,0,0,0,GCSE,1
3014/52,WELSH LITERATURE UNIT 3 UNED 3 HAEN UWCH,,29/05/2019,2924,2924,,25/07/2019,21706,21751,0,2924,100,GCSE,1
5680/03,MEDIA STUDIES COMPONENT 3,BTL IAMIS,29/05/2019,20765,20763,,25/07/2019,21706,21751,0,20763,99.990372,GCSE,1
5680/02,MEDIA STUDIES COMPONENT 2,DRS,29/05/2019,20765,0,10/06/2019,25/07/2019,21721,21751,0,0,0,GCSE,1
5680/01,MEDIA STUDIES COMPONENT 1,DRS,04/06/2019,20765,0,03/06/2019,25/07/2019,21713,21751,0,0,0,GCSE,1
3012/51,WELSH LITERATURE UNIT 1 UNED 1 HAEN SYLFAENOL,,29/05/2019,807,0,11/06/2019,25/07/2019,21718,21751,0,0,0,GCSE,1
3014/51,WELSH LITERATURE UNIT 3 UNED 3 HAEN SYLFAENOL,,04/06/2019,638,638,,25/07/2019,21706,21751,0,638,100,GCSE,1
5680/03,MEDIA STUDIES COMPONENT 3,BTL IAMIS,04/06/2019,20765,20761,,25/07/2019,21706,21751,0,20761,99.980736,GCSE,1
3013/52,WELSH LITERATURE UNIT 2 UNED 2 HAEN UWCH,DRS,03/06/2019,3336,0,13/06/2019,25/07/2019,21725,21751,0,0,0,GCSE,1
3012/51,WELSH LITERATURE UNIT 1 UNED 1 HAEN SYLFAENOL,,30/05/2019,807,0,11/06/2019,25/07/2019,21718,21751,0,0,0,GCSE,1
3013/52,WELSH LITERATURE UNIT 2 UNED 2 HAEN UWCH,DRS,04/06/2019,3336,0,13/06/2019,25/07/2019,21725,21751,0,0,0,GCSE,1
3012/51,WELSH LITERATURE UNIT 1 UNED 1 HAEN SYLFAENOL,,03/06/2019,807,0,11/06/2019,25/07/2019,21718,21751,0,0,0,GCSE,1
3014/52,WELSH LITERATURE UNIT 3 UNED 3 HAEN UWCH,,30/05/2019,2924,2924,,25/07/2019,21706,21751,0,2924,100,GCSE,1
3447/02,APPLIED SCIENCE (DOUBLE) 2 UNIT 2 HIGHER TIER,,03/06/2019,75,0,07/06/2019,26/07/2019,21717,21752,0,0,0,GCSE,1
3446/01,APPLIED SCIENCE (DOUBLE) 1 UNIT 1 FOUNDATION,,04/06/2019,1998,0,12/06/2019,26/07/2019,21720,21752,0,0,0,GCSE,1
