Code,Qual,qual_level
3656/01,3656,1
3660/01,3660,1
3660/03,3660,1
3660/53,3660,1
3660/02,3660,1
3680/03,3680,1
3680/51,3680,1
3680/02,3680,1
3680/01,3680,1
3680/52,3680,1
3690/53,3690,1
3690/03,3690,1
3690/01,3690,1
3690/52,3690,1
3690/02,3690,1
3700/03,3700,1
3700/01,3700,1
3700/02,3700,1
3721/01,3721,1
3721/02,3721,1
3722/04,3722,1
3722/01,3722,1
3722/03,3722,1
3722/02,3722,1
3723/01,3723,1
4292/01,4292,1
4293/01,4293,1
4332/01,4332,1
4334/01,4334,1
4721/01,4721,1
4724/01,4724,1
5101/04,5101,1
5101/03,5101,1
5101/02,5101,1
5101/01,5101,1
5102/04,5102,1
5102/01,5102,1
5102/03,5102,1
5102/02,5102,1
5103/02,5103,1
5103/03,5103,1
5103/04,5103,1
5103/01,5103,1
5104/03,5104,1
5104/04,5104,1
5104/02,5104,1
5104/01,5104,1
5111/02,5111,1
5111/03,5111,1
5111/01,5111,1
5112/03,5112,1
5112/02,5112,1
5112/01,5112,1
5120/01,5120,1
5120/06,5120,1
5120/03,5120,1
5120/02,5120,1
5120/04,5120,1
5120/05,5120,1
5120/09,5120,1
5120/08,5120,1
5120/07,5120,1
5125/01,5125,1
5125/06,5125,1
5125/02,5125,1
5125/07,5125,1
5125/05,5125,1
5125/03,5125,1
5125/04,5125,1
5490/02,5490,1
5490/01,5490,1
5490/03,5490,1
5510/02,5510,1
5510/01,5510,1
5550/01,5550,1
5550/02,5550,1
5555/02,5555,1
5555/01,5555,1
5560/01,5560,1
5560/02,5560,1
5600/02,5600,1
5600/01,5600,1
5650/02,5650,1
5650/01,5650,1
5651/01,5651,1
5651/02,5651,1
5653/02,5653,1
5653/01,5653,1
5656/01,5656,1
5656/02,5656,1
5660/01,5660,1
5660/02,5660,1
5660/03,5660,1
5670/01,5670,1
5670/02,5670,1
5670/03,5670,1
5680/03,5680,1
5680/02,5680,1
5680/01,5680,1
5690/01,5690,1
5690/03,5690,1
5690/02,5690,1
5720/01,5720,1
5720/02,5720,1
5800/05,5800,1
5800/01,5800,1
5800/04,5800,1
5800/07,5800,1
5800/08,5800,1
5800/02,5800,1
5800/03,5800,1
5800/06,5800,1
7201/01,7201,2
7202/01,7202,2
8111/01,8111,2
8111/04,8111,2
8111/02,8111,2
8111/03,8111,2
8291/02,8291,2
8291/03,8291,2
8291/01,8291,2
8480/02,8480,2
8480/01,8480,2
8490/02,8490,2
8490/01,8490,2
8491/03,8491,2
8491/02,8491,2
8491/01,8491,2
8501/01,8501,2
8501/02,8501,2
8501/03,8501,2
8520/01,8520,2
8520/02,8520,2
8521/02,8521,2
8521/03,8521,2
8521/01,8521,2
8550/02,8550,2
8550/01,8550,2
8551/02,8551,2
8551/03,8551,2
8551/01,8551,2
8602/02,8602,2
8602/01,8602,2
8603/01,8603,2
8603/02,8603,2
8604/02,8604,2
8604/01,8604,2
8651/01,8651,2
8654/01,8654,2
8656/01,8656,2
8660/03,8660,2
8660/01,8660,2
8660/02,8660,2
8661/03,8661,2
8661/04,8661,2
8661/05,8661,2
8661/01,8661,2
8661/02,8661,2
8670/03,8670,2
8670/01,8670,2
8670/02,8670,2
8671/03,8671,2
8671/01,8671,2
8671/02,8671,2
8680/03,8680,2
8680/02,8680,2
8680/01,8680,2
8681/02,8681,2
8681/03,8681,2
8681/01,8681,2
8690/02,8690,2
8690/01,8690,2
8691/02,8691,2
8691/01,8691,2
8691/03,8691,2
8701/03,8701,2
8701/01,8701,2
8701/02,8701,2
8701/04,8701,2
8710/02,8710,2
8710/01,8710,2
